STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000010, -0.000000, -6.514962
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -6.480425
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -6.456047
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -6.435352
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -6.415895
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -6.383190
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -6.357785
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -6.335823
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000010, -0.000000, -6.318618
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -6.283899
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -6.259421
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -6.238582
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -6.217655
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000019, -0.000000, -6.186628
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -6.161280
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -6.139234
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000010, -0.000000, -6.121736
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -6.087149
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000014, -0.000000, -6.062995
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -6.042356
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -6.022721
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -5.989838
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -5.964444
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -5.942863
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000010, -0.000000, -5.925435
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -5.890511
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -5.866171
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -5.845672
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -5.826092
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -5.793392
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -5.767949
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -5.746112
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000011, -0.000000, -5.727439
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -5.693899
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -5.669565
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -5.648884
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -5.629317
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -5.596584
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -5.571251
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -5.549371
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000010, -0.000000, -5.532257
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -5.497452
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -5.473156
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -5.452487
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -5.432729
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000020, -0.000000, -5.400129
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000016, -0.000000, -5.374049
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -5.352942
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000010, -0.000000, -5.335456
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000021, -0.000000, -5.300848
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -5.276366
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000012, -0.000000, -5.255739
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000013, -0.000000, -5.234792
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000019, -0.000000, -5.203557
STEERING (cc, dc, e, i, d, s): -0.000138, 0.000000, 0.000138, 0.000015, -0.000000, -5.178202
