STEERING (cc, dc, e, i, d, s): 0.042534, 0.020929, -0.021606, -0.001891, -0.000000, -1.721398
STEERING (cc, dc, e, i, d, s): 0.047883, 0.020929, -0.026954, -0.001777, 0.000000, -10.635741
STEERING (cc, dc, e, i, d, s): 0.050214, 0.020929, -0.029285, -0.001684, 0.000000, -15.657926
STEERING (cc, dc, e, i, d, s): 0.052439, 0.025230, -0.027209, -0.001231, 0.000000, -14.601304
STEERING (cc, dc, e, i, d, s): 0.053287, 0.036077, -0.017210, -0.001562, 0.000000, -4.046000
STEERING (cc, dc, e, i, d, s): 0.052121, 0.038404, -0.013717, -0.000902, -0.000000, -0.804967
STEERING (cc, dc, e, i, d, s): 0.049366, 0.038404, -0.010962, -0.000610, -0.000000, 1.878510
STEERING (cc, dc, e, i, d, s): 0.047247, 0.041481, -0.005766, -0.000272, 0.000000, 8.037334
STEERING (cc, dc, e, i, d, s): 0.042640, 0.041481, -0.001159, -0.000099, -0.000000, 13.676736
STEERING (cc, dc, e, i, d, s): 0.038564, 0.041023, 0.002458, 0.000162, -0.000000, 18.404224
STEERING (cc, dc, e, i, d, s): 0.036712, 0.041023, 0.004310, 0.000251, -0.000000, 21.035604
STEERING (cc, dc, e, i, d, s): 0.034384, 0.041017, 0.006632, 0.000298, 0.000000, 24.312732
STEERING (cc, dc, e, i, d, s): 0.032903, 0.041017, 0.008114, 0.000735, -0.000000, 27.085089
STEERING (cc, dc, e, i, d, s): 0.032427, 0.041063, 0.008636, 0.000568, -0.000000, 28.449239
STEERING (cc, dc, e, i, d, s): 0.032797, 0.051467, 0.018670, 0.000978, 0.000000, 42.225985
STEERING (cc, dc, e, i, d, s): 0.033432, 0.051467, 0.018035, 0.000868, -0.000000, 42.517818
STEERING (cc, dc, e, i, d, s): 0.035760, 0.051496, 0.015736, 0.001382, -0.000000, 41.370244
STEERING (cc, dc, e, i, d, s): 0.039094, 0.051486, 0.012392, 0.000814, -0.000000, 38.204945
STEERING (cc, dc, e, i, d, s): 0.041105, 0.051486, 0.010381, 0.000593, 0.000000, 36.431230
STEERING (cc, dc, e, i, d, s): 0.044599, 0.051486, 0.006886, 0.000313, -0.000000, 32.451214
STEERING (cc, dc, e, i, d, s): 0.048465, 0.051437, 0.002972, 0.000272, -0.000000, 27.893994
STEERING (cc, dc, e, i, d, s): 0.053499, 0.051437, -0.002062, -0.000134, -0.000000, 21.429328
STEERING (cc, dc, e, i, d, s): 0.056892, 0.051437, -0.005455, -0.000285, 0.000000, 16.828342
STEERING (cc, dc, e, i, d, s): 0.059014, 0.051525, -0.007489, -0.000367, 0.000000, 13.825483
STEERING (cc, dc, e, i, d, s): 0.062409, 0.051525, -0.010884, -0.000948, -0.000000, 8.391622
STEERING (cc, dc, e, i, d, s): 0.064426, 0.051538, -0.012888, -0.000850, 0.000000, 4.821392
STEERING (cc, dc, e, i, d, s): 0.064691, 0.051538, -0.013153, -0.000811, 0.000000, 3.474524
STEERING (cc, dc, e, i, d, s): 0.064319, 0.051525, -0.012795, -0.000832, 0.000000, 2.882739
STEERING (cc, dc, e, i, d, s): 0.063789, 0.051484, -0.012305, -0.000820, 0.000000, 2.469765
STEERING (cc, dc, e, i, d, s): 0.061772, 0.051484, -0.010288, -0.000677, 0.000000, 4.145575
STEERING (cc, dc, e, i, d, s): 0.059756, 0.051436, -0.008320, -0.000435, -0.000000, 6.063717
STEERING (cc, dc, e, i, d, s): 0.058430, 0.051494, -0.006936, -0.000336, -0.000000, 7.375438
STEERING (cc, dc, e, i, d, s): 0.055461, 0.051494, -0.003967, -0.000347, 0.000000, 10.655701
STEERING (cc, dc, e, i, d, s): 0.052810, 0.051585, -0.001225, -0.000081, -0.000000, 13.984733
STEERING (cc, dc, e, i, d, s): 0.051644, 0.051585, -0.000059, -0.000003, -0.000000, 15.439036
STEERING (cc, dc, e, i, d, s): 0.050108, 0.076443, 0.026335, 0.001204, 0.000000, 49.963947
STEERING (cc, dc, e, i, d, s): 0.049048, 0.076443, 0.027395, 0.002724, -0.000000, 54.696834
STEERING (cc, dc, e, i, d, s): 0.048677, 0.073710, 0.025032, 0.001436, -0.000000, 53.537781
STEERING (cc, dc, e, i, d, s): 0.049525, 0.073710, 0.024185, 0.001239, 0.000000, 54.027783
STEERING (cc, dc, e, i, d, s): 0.050532, 0.073710, 0.023178, 0.001140, -0.000000, 54.194253
STEERING (cc, dc, e, i, d, s): 0.053499, 0.072287, 0.018788, 0.001636, -0.000000, 50.748487
STEERING (cc, dc, e, i, d, s): 0.057423, 0.074144, 0.016722, 0.001106, 0.000000, 49.547386
STEERING (cc, dc, e, i, d, s): 0.059756, 0.074144, 0.014388, 0.000824, -0.000000, 47.658740
STEERING (cc, dc, e, i, d, s): 0.063311, 0.074144, 0.010833, 0.000492, -0.000000, 43.827176
STEERING (cc, dc, e, i, d, s): 0.067080, 0.081010, 0.013930, 0.001260, 0.000000, 49.278249
STEERING (cc, dc, e, i, d, s): 0.071914, 0.081010, 0.009097, 0.000600, -0.000000, 43.981136
STEERING (cc, dc, e, i, d, s): 0.075316, 0.090632, 0.015316, 0.000851, 0.000000, 52.826575
STEERING (cc, dc, e, i, d, s): 0.077496, 0.090632, 0.013136, 0.000620, -0.000000, 50.874566
STEERING (cc, dc, e, i, d, s): 0.081752, 0.095447, 0.013694, 0.001172, 0.000000, 53.038453
STEERING (cc, dc, e, i, d, s): 0.085746, 0.095447, 0.009701, 0.000638, -0.000000, 48.840788
STEERING (cc, dc, e, i, d, s): 0.087663, 0.053920, -0.033744, -0.001935, -0.000000, -7.928772
STEERING (cc, dc, e, i, d, s): 0.090488, 0.053920, -0.036568, -0.001654, 0.000000, -13.531289
STEERING (cc, dc, e, i, d, s): 0.093261, 0.062197, -0.031064, -0.002820, 0.000000, -10.173468
STEERING (cc, dc, e, i, d, s): 0.095128, 0.062197, -0.032931, -0.002173, -0.000000, -15.227538
STEERING (cc, dc, e, i, d, s): 0.095021, 0.062197, -0.032824, -0.001708, 0.000000, -17.231281
STEERING (cc, dc, e, i, d, s): 0.094381, 0.069761, -0.024620, -0.001246, 0.000000, -8.526053
STEERING (cc, dc, e, i, d, s): 0.090861, 0.071569, -0.019292, -0.001648, -0.000000, -3.921632
STEERING (cc, dc, e, i, d, s): 0.085479, 0.071569, -0.013910, -0.000916, 0.000000, 1.665094
STEERING (cc, dc, e, i, d, s): 0.082604, 0.117844, 0.035240, 0.002023, 0.000000, 65.682217
STEERING (cc, dc, e, i, d, s): 0.078932, 0.117844, 0.038912, 0.001765, -0.000000, 72.484113
STEERING (cc, dc, e, i, d, s): 0.075475, 0.117844, 0.042369, 0.003858, -0.000000, 81.635204
STEERING (cc, dc, e, i, d, s): 0.072764, 0.102441, 0.029677, 0.001950, -0.000000, 68.196989
STEERING (cc, dc, e, i, d, s): 0.072658, 0.102441, 0.029783, 0.001535, 0.000000, 70.249853
STEERING (cc, dc, e, i, d, s): 0.073349, 0.098990, 0.025642, 0.001304, -0.000000, 66.700205
STEERING (cc, dc, e, i, d, s): 0.076007, 0.098990, 0.022984, 0.002017, 0.000000, 65.898491
STEERING (cc, dc, e, i, d, s): 0.080741, 0.096858, 0.016117, 0.001029, -0.000000, 58.595377
STEERING (cc, dc, e, i, d, s): 0.083722, 0.096858, 0.013136, 0.000833, 0.000000, 55.908796
