x, y, theta, v, timestamp, left_img, right_img
7757940.828,-363631.417,-0.702,9.722,1397835402.7382690906524658203125000,1397835402.7382690906524658203125000.bb08.l.png,1397835402.7382690906524658203125000.bb08.r.png
7757941.679,-363632.197,-0.703,9.737,1397835402.8632719516754150390625000,1397835402.8632719516754150390625000.bb08.l.png,1397835402.8632719516754150390625000.bb08.r.png
7757942.606,-363632.960,-0.701,9.863,1397835402.9882700443267822265625000,1397835402.9882700443267822265625000.bb08.l.png,1397835402.9882700443267822265625000.bb08.r.png
7757943.500,-363633.719,-0.702,9.767,1397835403.1132960319519042968750000,1397835403.1132960319519042968750000.bb08.l.png,1397835403.1132960319519042968750000.bb08.r.png
7757944.414,-363634.514,-0.695,9.684,1397835403.2383170127868652343750000,1397835403.2383170127868652343750000.bb08.l.png,1397835403.2383170127868652343750000.bb08.r.png
7757945.269,-363635.253,-0.703,9.439,1397835403.3632929325103759765625000,1397835403.3632929325103759765625000.bb08.l.png,1397835403.3632929325103759765625000.bb08.r.png
7757946.182,-363636.051,-0.704,9.484,1397835403.4882729053497314453125000,1397835403.4882729053497314453125000.bb08.l.png,1397835403.4882729053497314453125000.bb08.r.png
7757947.141,-363636.862,-0.707,9.760,1397835403.6132619380950927734375000,1397835403.6132619380950927734375000.bb08.l.png,1397835403.6132619380950927734375000.bb08.r.png
7757947.993,-363637.589,-0.708,9.657,1397835403.7383139133453369140625000,1397835403.7383139133453369140625000.bb08.l.png,1397835403.7383139133453369140625000.bb08.r.png
7757948.895,-363638.380,-0.715,9.551,1397835403.8632891178131103515625000,1397835403.8632891178131103515625000.bb08.l.png,1397835403.8632891178131103515625000.bb08.r.png
7757949.788,-363639.179,-0.722,9.596,1397835403.9883201122283935546875000,1397835403.9883201122283935546875000.bb08.l.png,1397835403.9883201122283935546875000.bb08.r.png
7757950.542,-363639.881,-0.737,9.526,1397835404.1132829189300537109375000,1397835404.1132829189300537109375000.bb08.l.png,1397835404.1132829189300537109375000.bb08.r.png
7757951.409,-363640.682,-0.748,9.398,1397835404.2383310794830322265625000,1397835404.2383310794830322265625000.bb08.l.png,1397835404.2383310794830322265625000.bb08.r.png
7757952.201,-363641.474,-0.768,9.367,1397835404.3632750511169433593750000,1397835404.3632750511169433593750000.bb08.l.png,1397835404.3632750511169433593750000.bb08.r.png
7757953.033,-363642.296,-0.772,9.326,1397835404.4883170127868652343750000,1397835404.4883170127868652343750000.bb08.l.png,1397835404.4883170127868652343750000.bb08.r.png
7757953.856,-363643.152,-0.795,9.394,1397835404.6132800579071044921875000,1397835404.6132800579071044921875000.bb08.l.png,1397835404.6132800579071044921875000.bb08.r.png
7757954.534,-363643.876,-0.822,9.407,1397835404.7383000850677490234375000,1397835404.7383000850677490234375000.bb08.l.png,1397835404.7383000850677490234375000.bb08.r.png
7757955.296,-363644.742,-0.836,9.169,1397835404.8633379936218261718750000,1397835404.8633379936218261718750000.bb08.l.png,1397835404.8633379936218261718750000.bb08.r.png
7757955.946,-363645.560,-0.877,9.025,1397835404.9882609844207763671875000,1397835404.9882609844207763671875000.bb08.l.png,1397835404.9882609844207763671875000.bb08.r.png
7757956.628,-363646.415,-0.905,8.965,1397835405.1132810115814208984375000,1397835405.1132810115814208984375000.bb08.l.png,1397835405.1132810115814208984375000.bb08.r.png
7757957.316,-363647.305,-0.920,8.983,1397835405.2383050918579101562500000,1397835405.2383050918579101562500000.bb08.l.png,1397835405.2383050918579101562500000.bb08.r.png
7757957.908,-363648.178,-0.954,8.803,1397835405.3632729053497314453125000,1397835405.3632729053497314453125000.bb08.l.png,1397835405.3632729053497314453125000.bb08.r.png
7757958.567,-363649.118,-0.995,8.554,1397835405.4883110523223876953125000,1397835405.4883110523223876953125000.bb08.l.png,1397835405.4883110523223876953125000.bb08.r.png
7757959.102,-363649.967,-1.014,8.367,1397835405.6132910251617431640625000,1397835405.6132910251617431640625000.bb08.l.png,1397835405.6132910251617431640625000.bb08.r.png
7757959.601,-363650.927,-1.051,8.264,1397835405.7382829189300537109375000,1397835405.7382829189300537109375000.bb08.l.png,1397835405.7382829189300537109375000.bb08.r.png
7757960.091,-363651.788,-1.057,8.190,1397835405.8633310794830322265625000,1397835405.8633310794830322265625000.bb08.l.png,1397835405.8633310794830322265625000.bb08.r.png
7757960.551,-363652.705,-1.098,8.192,1397835405.9883179664611816406250000,1397835405.9883179664611816406250000.bb08.l.png,1397835405.9883179664611816406250000.bb08.r.png
7757960.948,-363653.519,-1.119,8.179,1397835406.1133179664611816406250000,1397835406.1133179664611816406250000.bb08.l.png,1397835406.1133179664611816406250000.bb08.r.png
7757961.271,-363654.304,-1.155,7.763,1397835406.2382779121398925781250000,1397835406.2382779121398925781250000.bb08.l.png,1397835406.2382779121398925781250000.bb08.r.png
