timestamp 1655648238.244537, valid 1, tt 4.31003679, a -0.17472307, vf 0.00000000, sf 0.00000000, s 22.66654507
timestamp 1655648238.313619, valid 1, tt 4.40724864, a -0.19206792, vf 0.00000000, sf 0.00000000, s 22.92698755
timestamp 1655648238.398823, valid 1, tt 4.50239198, a -0.20761026, vf 0.00000000, sf 0.00000000, s 23.17767466
timestamp 1655648238.455309, valid 1, tt 4.49133670, a -0.22383070, vf 0.00000000, sf 0.00000000, s 22.88129283
timestamp 1655648238.506486, valid 1, tt 4.44044814, a -0.22325774, vf 0.00000000, sf 0.00000000, s 22.59110107
timestamp 1655648238.576523, valid 1, tt 4.62550334, a -0.23053005, vf 0.00000000, sf 0.00000000, s 23.28789783
timestamp 1655648238.610028, valid 1, tt 4.57578852, a -0.22794163, vf 0.00000000, sf 0.00000000, s 22.98428096
timestamp 1655648238.690826, valid 1, tt 4.55302819, a -0.24699958, vf 0.00000000, sf 0.00000000, s 22.68422969
timestamp 1655648238.791436, valid 1, tt 4.68138863, a -0.25215014, vf 0.00000000, sf 0.00000000, s 23.07254065
timestamp 1655648238.874923, valid 1, tt 4.55439404, a -0.25100456, vf 0.00000000, sf 0.00000000, s 22.36183839
timestamp 1655648238.964203, valid 1, tt 4.68290803, a -0.25539713, vf 0.00000000, sf 0.00000000, s 22.73284220
timestamp 1655648239.023531, valid 1, tt 4.54310340, a -0.26325645, vf 0.00000000, sf 0.00000000, s 22.05417065
timestamp 1655648239.092661, valid 1, tt 4.67217588, a -0.26442024, vf 0.00000000, sf 0.00000000, s 22.39093187
timestamp 1655648239.170731, valid 1, tt 4.78048438, a -0.27193160, vf 0.00000000, sf 0.00000000, s 22.67389811
timestamp 1655648239.249080, valid 1, tt 4.73256658, a -0.26767963, vf 0.00000000, sf 0.00000000, s 22.36817382
timestamp 1655648239.319640, valid 1, tt 4.65230169, a -0.28110406, vf 0.00000000, sf 0.00000000, s 21.73488851
timestamp 1655648239.414255, valid 1, tt 4.76396914, a -0.28289081, vf 0.00000000, sf 0.00000000, s 21.99071855
