STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.097796, -0.013398, 10.865416, 1717610120.935905
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.098077, 0.013388, 10.927029, 1717610120.960970
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.098349, -0.013371, 10.920721, 1717610120.986066
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.098630, 0.013404, 10.982300, 1717610121.011101
STEERING (cc, dc, e, i, d, s): -0.010570, 0.000000, 0.010570, 0.098894, -0.024950, 10.946384, 1717610121.036079
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.099173, 0.024928, 11.036685, 1717610121.061078
STEERING (cc, dc, e, i, d, s): -0.010570, 0.000000, 0.010570, 0.099439, -0.024836, 11.000889, 1717610121.086170
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.099719, 0.024914, 11.091207, 1717610121.111184
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.099999, 0.000000, 11.119236, 1717610121.136224
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.100271, -0.013375, 11.112920, 1717610121.161312
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.100551, 0.013418, 11.174470, 1717610121.186321
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.100832, 0.000000, 11.202514, 1717610121.211375
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.101121, 0.013350, 11.265048, 1717610121.236510
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.101392, -0.026912, 11.225013, 1717610121.261448
STEERING (cc, dc, e, i, d, s): -0.011865, 0.000000, 0.011865, 0.101689, 0.040185, 11.355404, 1717610121.286499
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.101961, -0.040187, 11.281934, 1717610121.311549
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.102241, 0.013417, 11.343485, 1717610121.336559
STEERING (cc, dc, e, i, d, s): -0.010570, 0.000000, 0.010570, 0.102506, -0.024875, 11.307648, 1717610121.361612
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.102794, 0.038346, 11.432349, 1717610121.386615
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.103075, -0.013372, 11.426882, 1717610121.411710
